bigram,n,star
customer service,1136,2
2 stars,173,2
10 minutes,133,2
front desk,133,2
20 minutes,117,2
15 minutes,100,2
parking lot,100,2
30 minutes,99,2
home depot,99,2
las vegas,87,2
ice cream,76,2
2 weeks,67,2
credit card,64,2
weeks ago,63,2
1 2,61,2
sales associate,60,2
food court,59,2
poor customer,59,2
5 minutes,58,2
phone call,57,2
45 minutes,55,2
multiple times,54,2
5 stars,52,2
grocery store,51,2
soft serve,51,2
sales person,50,2
1 star,49,2
eye exam,49,2
gift card,49,2
3 times,48,2
return policy,48,2
store manager,47,2
3 weeks,46,2
entire time,43,2
shopping experience,42,2
eye contact,41,2
months ago,40,2
2 3,39,2
2 star,38,2
cereal milk,38,2
nthe store,38,2
sales people,38,2
sales rep,38,2
store credit,37,2
wal mart,37,2
super nice,36,2
2 days,35,2
bad experience,35,2
crack pie,35,2
2 months,34,2
3 days,34,2
days ago,34,2
star rating,34,2
2 hours,33,2
5 star,33,2
40 minutes,31,2
phone calls,31,2
apple store,30,2
cash register,29,2
terrible customer,29,2
cell phone,28,2
3 4,27,2
bad customer,27,2
sales staff,27,2
24 hours,26,2
debit card,26,2
extremely rude,26,2
sales associates,26,2
service desk,25,2
3 people,24,2
6 months,24,2
empty handed,24,2
horrible customer,24,2
poor service,24,2
resort fee,24,2
service skills,24,2
star review,24,2
story short,24,2
10 mins,23,2
pretty disappointed,23,2
price match,23,2
1 hour,22,2
4 times,22,2
bad day,22,2
couple days,22,2
couple weeks,22,2
feel bad,22,2
milk bar,22,2
single time,22,2
thrift store,22,2
10 15,21,2
milk soft,21,2
screen protector,21,2
sim cards,21,2
wait time,21,2
3 hours,20,2
30 days,20,2
4 weeks,20,2
decent selection,20,2
double check,20,2
customer service,7825,1
home depot,728,1
worst customer,725,1
credit card,644,1
30 minutes,551,1
horrible customer,534,1
store manager,520,1
20 minutes,510,1
2 weeks,498,1
10 minutes,482,1
poor customer,449,1
15 minutes,445,1
terrible customer,435,1
las vegas,425,1
front desk,422,1
worst experience,382,1
phone call,367,1
2 hours,342,1
extremely rude,329,1
sales person,318,1
1 star,313,1
3 times,310,1
multiple times,307,1
3 weeks,306,1
0 stars,301,1
phone calls,299,1
gift card,297,1
5 minutes,290,1
2 days,283,1
store credit,281,1
weeks ago,280,1
1 2,276,1
return policy,273,1
horrible experience,266,1
bad experience,263,1
parking lot,259,1
months ago,258,1
45 minutes,254,1
3 days,252,1
buyer beware,246,1
bad customer,230,1
sales associate,226,1
2 months,225,1
horrible service,219,1
3 months,206,1
sales rep,196,1
3 hours,191,1
service skills,191,1
living spaces,187,1
days ago,185,1
terrible experience,185,1
terrible service,185,1
6 months,181,1
ni called,177,1
sales people,176,1
apple store,172,1
story short,172,1
cell phone,168,1
poor service,166,1
10 days,164,1
worst service,163,1
30 days,157,1
6 weeks,156,1
called customer,155,1
24 hours,154,1
eye contact,150,1
delivery date,149,1
entire time,146,1
business days,144,1
4 days,142,1
horrible horrible,142,1
negative stars,139,1
price match,139,1
absolute worst,137,1
insurance company,136,1
5 days,133,1
poor quality,132,1
4 times,131,1
warranty company,128,1
restocking fee,125,1
2 3,123,1
1 hour,122,1
4 hours,122,1
month ago,122,1
screen protector,121,1
40 minutes,120,1
security guard,120,1
4 months,119,1
front door,118,1
bad service,117,1
direct tv,117,1
loyal customer,117,1
corporate office,115,1
30 min,114,1
costumer service,113,1
service experience,112,1
service rep,112,1
shopping experience,111,1
4 weeks,110,1
negative reviews,110,1
customer service,570,3
3 stars,184,3
food court,143,3
parking lot,135,3
las vegas,120,3
5 stars,107,3
soft serve,91,3
ice cream,87,3
crack pie,85,3
grocery store,82,3
front desk,76,3
20 minutes,74,3
home depot,72,3
30 minutes,71,3
10 minutes,66,3
cereal milk,61,3
15 minutes,59,3
nthe store,55,3
5 star,52,3
5 minutes,49,3
shopping experience,48,3
star review,46,3
1 2,42,3
credit card,42,3
milk bar,41,3
shopping center,40,3
3 star,38,3
1 star,37,3
wal mart,37,3
2 hours,35,3
2 stars,35,3
decent selection,35,3
friendly staff,35,3
nthe staff,35,3
thrift store,34,3
super friendly,32,3
wait time,32,3
milk soft,30,3
star rating,29,3
fremont street,28,3
3 5,27,3
45 minutes,27,3
grocery stores,27,3
4 stars,26,3
birthday cake,26,3
board games,26,3
dollar store,26,3
huge selection,26,3
multiple times,26,3
sales people,26,3
weeks ago,26,3
3 times,25,3
cell phone,25,3
gift shop,25,3
nice store,25,3
2 3,24,3
empty handed,24,3
giant eagle,24,3
nice selection,24,3
store credit,24,3
super nice,24,3
24 hours,23,3
3.5 stars,23,3
4 5,23,3
food options,23,3
home decor,23,3
pretty cool,23,3
dollar tree,22,3
hard time,22,3
vegas strip,22,3
wide selection,22,3
clean store,21,3
days ago,21,3
home improvement,21,3
pretty decent,21,3
price tag,21,3
eye contact,20,3
household items,20,3
recent visit,20,3
return policy,20,3
sales associate,20,3
sales person,20,3
tj maxx,20,3
trader joe's,20,3
wait times,20,3
2 weeks,19,3
3 hours,19,3
3 weeks,19,3
conveniently located,19,3
decent amount,19,3
gift card,19,3
nthis store,19,3
poor customer,19,3
sale items,19,3
10 15,18,3
2 days,18,3
department store,18,3
helpful staff,18,3
nthis location,18,3
price match,18,3
customer service,548,3
3 stars,185,3
las vegas,142,3
parking lot,132,3
soft serve,111,3
food court,102,3
ice cream,100,3
5 stars,94,3
grocery store,83,3
cereal milk,82,3
crack pie,70,3
15 minutes,68,3
front desk,67,3
home depot,65,3
nthe store,65,3
10 minutes,62,3
20 minutes,54,3
30 minutes,54,3
milk bar,50,3
friendly staff,47,3
credit card,43,3
shopping experience,42,3
1 2,41,3
thrift store,39,3
sales associate,38,3
5 minutes,37,3
shopping center,37,3
wal mart,37,3
milk soft,36,3
3 star,35,3
5 star,34,3
huge selection,34,3
sales person,33,3
sugar factory,33,3
super friendly,33,3
1 star,32,3
2 stars,32,3
4 stars,32,3
bad experience,32,3
birthday cake,32,3
compost cookie,31,3
nice selection,31,3
star rating,31,3
nthe staff,30,3
wide variety,30,3
2 weeks,29,3
decent selection,29,3
apple store,28,3
gift card,28,3
grocery stores,28,3
price tag,28,3
super nice,28,3
2 3,27,3
sales people,27,3
board games,26,3
gift shop,26,3
harris teeter,26,3
corn flakes,25,3
nthis location,25,3
outlet mall,25,3
3.5 stars,24,3
4 5,24,3
empty handed,24,3
pretty cool,24,3
weeks ago,24,3
multiple times,23,3
phone call,23,3
video games,23,3
2 hours,22,3
24 hours,22,3
3 4,21,3
3 days,21,3
45 minutes,21,3
coffee shop,21,3
dollar tree,21,3
fremont street,21,3
nthe food,21,3
wait time,21,3
worth checking,21,3
dim sum,20,3
eye exam,20,3
home decor,20,3
store credit,20,3
store manager,20,3
3 hours,19,3
3 weeks,19,3
board game,19,3
cash register,19,3
department store,19,3
entire time,19,3
nice store,19,3
nthis store,19,3
pretty decent,19,3
pretty nice,19,3
star review,19,3
trader joe's,19,3
eye contact,18,3
household items,18,3
n3 stars,18,3
return policy,18,3
customer service,1194,2
2 stars,197,2
20 minutes,129,2
10 minutes,118,2
home depot,118,2
15 minutes,115,2
30 minutes,96,2
front desk,92,2
las vegas,86,2
parking lot,82,2
ice cream,77,2
2 weeks,74,2
5 minutes,72,2
credit card,67,2
poor customer,63,2
soft serve,60,2
sales associate,53,2
sales people,53,2
sales person,52,2
1 2,50,2
return policy,50,2
2 days,49,2
sales associates,49,2
store manager,47,2
days ago,46,2
45 minutes,45,2
5 stars,45,2
2 hours,44,2
3 weeks,44,2
grocery store,44,2
crack pie,43,2
wal mart,43,2
bad experience,42,2
gift card,42,2
weeks ago,42,2
food court,41,2
months ago,41,2
cereal milk,40,2
milk bar,40,2
phone call,40,2
store credit,40,2
entire time,39,2
eye contact,39,2
multiple times,39,2
cell phone,38,2
2 months,37,2
2 star,37,2
eye exam,37,2
shopping experience,36,2
24 hours,35,2
3 times,35,2
3 days,34,2
bad customer,34,2
nthe store,34,2
sales lady,34,2
phone calls,33,2
service desk,33,2
3 4,32,2
10 15,31,2
1 star,30,2
empty handed,30,2
star review,30,2
5 star,29,2
poor service,29,2
price match,29,2
service skills,29,2
thrift store,29,2
wait time,29,2
10 days,28,2
4 times,28,2
bad day,28,2
ten minutes,28,2
terrible customer,28,2
2 3,27,2
3 hours,27,2
6 months,27,2
30 days,26,2
wedding dress,26,2
hard time,25,2
nthe staff,25,2
story short,25,2
super nice,25,2
3 months,24,2
5 days,24,2
apple store,24,2
horrible customer,24,2
40 minutes,23,2
extremely rude,23,2
resort fee,23,2
sales rep,23,2
single time,23,2
buyer beware,22,2
grocery stores,22,2
half hour,22,2
ni called,22,2
15 mins,21,2
cash register,21,2
decent selection,21,2
front door,21,2
sales staff,21,2
customer service,7201,1
worst customer,673,1
credit card,563,1
home depot,505,1
30 minutes,480,1
store manager,480,1
10 minutes,472,1
horrible customer,470,1
20 minutes,450,1
15 minutes,431,1
2 weeks,412,1
poor customer,407,1
terrible customer,389,1
phone call,364,1
worst experience,355,1
front desk,351,1
gift card,313,1
2 hours,309,1
store credit,307,1
extremely rude,304,1
sales person,302,1
3 weeks,301,1
las vegas,300,1
5 minutes,288,1
phone calls,286,1
return policy,271,1
horrible experience,269,1
1 star,266,1
weeks ago,266,1
3 days,256,1
1 2,254,1
3 times,253,1
45 minutes,245,1
0 stars,240,1
multiple times,238,1
sales associate,234,1
months ago,226,1
bad experience,220,1
parking lot,220,1
2 days,209,1
bad customer,209,1
buyer beware,206,1
2 months,203,1
horrible service,194,1
terrible service,194,1
3 months,180,1
living spaces,180,1
sales people,175,1
24 hours,173,1
service skills,169,1
ni called,163,1
terrible experience,161,1
sales rep,159,1
days ago,157,1
poor service,146,1
story short,146,1
6 months,143,1
30 days,141,1
worst service,141,1
10 days,138,1
6 weeks,138,1
4 days,137,1
5 days,136,1
corporate office,136,1
eye exam,135,1
delivery date,133,1
business days,132,1
4 times,131,1
3 hours,130,1
apple store,126,1
cell phone,123,1
absolute worst,122,1
2 3,120,1
entire time,120,1
wal mart,119,1
step foot,118,1
4 weeks,115,1
negative stars,115,1
eye contact,114,1
extremely disappointed,113,1
poor quality,112,1
direct tv,111,1
grocery store,111,1
negative reviews,110,1
40 minutes,109,1
call customer,109,1
called customer,109,1
month ago,109,1
assistant manager,107,1
restocking fee,107,1
3 4,105,1
bad reviews,105,1
sales associates,104,1
hard earned,103,1
price match,103,1
front door,102,1
bottom line,100,1
service rep,98,1
shopping experience,98,1
highly recommend,97,1
customer service,1079,2
2 stars,186,2
parking lot,121,2
15 minutes,117,2
10 minutes,112,2
20 minutes,98,2
30 minutes,94,2
home depot,94,2
front desk,93,2
las vegas,78,2
5 minutes,75,2
poor customer,67,2
phone call,61,2
store manager,60,2
credit card,56,2
2 hours,55,2
food court,55,2
return policy,52,2
2 weeks,49,2
sales person,49,2
grocery store,47,2
sales associate,47,2
3 times,45,2
5 stars,44,2
1 star,43,2
2 days,42,2
shopping experience,42,2
45 minutes,40,2
sales people,40,2
3 weeks,39,2
months ago,39,2
star rating,39,2
multiple times,38,2
1 2,37,2
apple store,37,2
cell phone,37,2
store credit,37,2
weeks ago,35,2
6 months,34,2
24 hours,33,2
eye contact,33,2
eye exam,33,2
wal mart,33,2
3 hours,32,2
days ago,32,2
thrift store,32,2
2 star,31,2
3 days,31,2
phone calls,31,2
sales rep,31,2
bad customer,30,2
gift card,30,2
40 minutes,29,2
bad experience,29,2
empty handed,29,2
horrible customer,29,2
price tag,29,2
sales associates,29,2
sam's club,29,2
half hour,28,2
story short,27,2
3 months,26,2
entire time,26,2
ni called,26,2
resort fee,26,2
4 days,25,2
4 times,24,2
5 star,24,2
hard time,24,2
wait time,24,2
2 months,23,2
3 4,23,2
extremely rude,23,2
worst customer,23,2
bad day,22,2
cash register,22,2
nthe store,22,2
10 15,21,2
iphone 6,21,2
super nice,21,2
bad taste,20,2
closing time,20,2
dollar tree,20,2
screen protector,20,2
service desk,20,2
terrible customer,20,2
2 3,19,2
4 5,19,2
debit card,19,2
forever 21,19,2
left eye,19,2
limited selection,19,2
minute wait,19,2
month ago,19,2
nice selection,19,2
super friendly,19,2
1 hour,18,2
5 days,18,2
business days,18,2
buyer beware,18,2
customer service,849,4
las vegas,273,4
food court,262,4
parking lot,240,4
5 stars,238,4
4 stars,231,4
highly recommend,184,4
friendly staff,155,4
super friendly,133,4
grocery store,128,4
nthe store,116,4
nice selection,111,4
nthe staff,106,4
huge selection,98,4
pretty cool,93,4
ice cream,92,4
super nice,92,4
home depot,88,4
helpful staff,81,4
shopping experience,76,4
trader joe's,76,4
10 minutes,74,4
pleasantly surprised,74,4
super helpful,73,4
wide variety,66,4
shopping center,65,4
ni love,64,4
5 star,63,4
board games,63,4
sales associate,63,4
30 minutes,61,4
extremely helpful,61,4
15 minutes,60,4
front desk,60,4
reasonable prices,58,4
credit card,57,4
black friday,55,4
bit pricey,53,4
top notch,53,4
sales people,51,4
coffee shop,49,4
2 hours,48,4
20 minutes,48,4
price range,48,4
wal mart,48,4
decent selection,46,4
store credit,46,4
love coming,45,4
return policy,45,4
1 2,44,4
4 star,44,4
store manager,44,4
24 hours,43,4
nice store,43,4
reasonable price,42,4
strip mall,42,4
thrift store,42,4
gift shop,41,4
home decor,41,4
nthis location,41,4
sam's club,41,4
weeks ago,41,4
wide selection,41,4
5 minutes,40,4
apple store,40,4
grocery stores,40,4
nthe food,40,4
outlet mall,40,4
pretty decent,39,4
worth checking,39,4
clean store,38,4
sales person,38,4
friendly helpful,37,4
friendly service,37,4
4 5,36,4
board game,36,4
conveniently located,36,4
food options,36,4
gluten free,36,4
love love,36,4
town square,36,4
1 star,35,4
box stores,35,4
eye exam,35,4
fremont street,35,4
produce section,35,4
star wars,35,4
stop shop,35,4
super cute,35,4
absolutely love,34,4
excellent customer,34,4
knowledgeable staff,34,4
sales associates,34,4
bad experience,33,4
clearance section,33,4
dollar tree,33,4
grocery shopping,33,4
kate spade,33,4
nthis store,33,4
star rating,33,4
customer service,516,3
3 stars,225,3
parking lot,163,3
food court,139,3
las vegas,124,3
grocery store,98,3
5 stars,96,3
home depot,66,3
nthe store,66,3
10 minutes,61,3
credit card,61,3
15 minutes,56,3
20 minutes,56,3
30 minutes,53,3
friendly staff,51,3
nthe staff,47,3
shopping center,44,3
3 star,43,3
front desk,42,3
shopping experience,42,3
sales associate,41,3
decent selection,40,3
ice cream,40,3
5 minutes,39,3
dollar store,39,3
sales person,38,3
wal mart,38,3
pretty cool,37,3
nice selection,36,3
1 2,35,3
thrift store,35,3
2 stars,32,3
4 stars,32,3
department store,32,3
home decor,32,3
forever 21,31,3
pretty nice,31,3
huge selection,30,3
ni love,30,3
nthis location,30,3
sale items,29,3
sales associates,29,3
sales people,29,3
strip mall,29,3
2 weeks,28,3
gift card,28,3
outlet mall,28,3
price match,28,3
24 hours,27,3
cash register,27,3
coffee shop,27,3
giant eagle,27,3
store credit,27,3
super nice,27,3
wide variety,27,3
3 times,26,3
bit pricey,26,3
star review,26,3
super friendly,26,3
weeks ago,26,3
1 star,25,3
2 hours,25,3
2 3,24,3
convenient location,24,3
decent prices,23,3
empty handed,23,3
hard time,23,3
months ago,23,3
reasonable prices,23,3
sales staff,23,3
bad experience,22,3
board games,22,3
return policy,22,3
star rating,22,3
3 4,21,3
5 star,21,3
department stores,21,3
dollar tree,21,3
fresh produce,21,3
grocery shopping,21,3
pawn shop,21,3
wi fi,21,3
worth checking,21,3
2 days,20,3
3 5,20,3
45 minutes,20,3
extremely helpful,20,3
flea market,20,3
helpful staff,20,3
hot chocolate,20,3
peanut butter,20,3
price tag,20,3
3.5 stars,19,3
grocery stores,19,3
highly recommend,19,3
nthe prices,19,3
nthis store,19,3
price range,19,3
reasonable price,19,3
ross park,19,3
customer service,981,2
2 stars,183,2
10 minutes,124,2
front desk,110,2
parking lot,105,2
home depot,96,2
20 minutes,94,2
15 minutes,89,2
30 minutes,87,2
las vegas,82,2
credit card,68,2
5 minutes,67,2
sales person,63,2
poor customer,61,2
food court,58,2
sales people,57,2
1 star,55,2
grocery store,55,2
2 weeks,54,2
sales associate,54,2
1 2,53,2
wal mart,51,2
3 times,48,2
2 hours,47,2
45 minutes,45,2
